Code,Tile,Author,URL,Year
FIC_98,The Tragedy of Pudd'nhead Wilson,"Twain, Mark",https://www.gutenberg.org/ebooks/102,1994
PHI_6,Symposium,Plato,https://www.gutenberg.org/ebooks/1600,1999
DRA_13,Plays of Sophocles: Oedipus the King; Oedipus at Colonus; Antigone,Sophocles,https://www.gutenberg.org/ebooks/31,2006
FIC_99,The Red Badge of Courage: An Episode of the American Civil War,"Crane, Stephen",https://www.gutenberg.org/ebooks/73,2008
POE_8,"Divine Comedy, Longfellow's Translation, Hell",Dante Alighieri,https://www.gutenberg.org/ebooks/1001,1997
DRA_14,Cyrano de Bergerac,"Rostand, Edmond",https://www.gutenberg.org/ebooks/1254,1998
DRA_15,Hamlet,"Shakespeare, William",https://www.gutenberg.org/ebooks/2265,1603
FIC_100,Maggie: A Girl of the Streets,"Crane, Stephen",https://www.gutenberg.org/ebooks/447,1996
FIC_101,Twenty Thousand Leagues under the Sea,"Verne, Jules",https://www.gutenberg.org/ebooks/164,2008
FIC_102,The King in Yellow,"Chambers, Robert W. (Robert William)",https://www.gutenberg.org/ebooks/8492,2005
PHI_7,The World as Will and Idea (Vol. 1 of 3),"Schopenhauer, Arthur",https://www.gutenberg.org/ebooks/38427,2011
HIS_3,The American Occupation of the Philippines 1898-1912,"Blount, James H. (James Henderson)",https://www.gutenberg.org/ebooks/36542,2011
POE_9,"The Canterbury Tales, and Other Poems","Chaucer, Geoffrey",https://www.gutenberg.org/ebooks/2383,1475
FIC_103,My Man Jeeves,"Wodehouse, P. G. (Pelham Grenville)",https://www.gutenberg.org/ebooks/8164,2005
POE_10,"Spenser's The Faerie Queene, Book I","Spenser, Edmund",https://www.gutenberg.org/ebooks/15272,2005
DRA_16,Mrs. Warren's Profession,"Shaw, Bernard",https://www.gutenberg.org/ebooks/1097,2006
PHI_8,Pascal's Pensées,"Pascal, Blaise",https://www.gutenberg.org/ebooks/18269,2006
FIC_104,Venus in Furs,"Sacher-Masoch, Leopold, Ritter von",https://www.gutenberg.org/ebooks/6852,2004
ART_2,The Legends of King Arthur and His Knights,"Knowles, James, Sir",https://www.gutenberg.org/ebooks/12753,2004
FIC_105,The Satyricon — Complete,Petronius Arbiter,https://www.gutenberg.org/ebooks/5225,2006
FIC_106,"The Pilgrim's Progress from this world to that which is to come: Delivered under the similitude of a dream, by John Bunyan","Bunyan, John",https://www.gutenberg.org/ebooks/131,2008
FIC_107,Kidnapped,"Stevenson, Robert Louis",https://www.gutenberg.org/ebooks/421,2006
SCI_7,On War — Volume 1,"Clausewitz, Carl von",https://www.gutenberg.org/ebooks/1946,2006
BIO_9,The Confessions of Jean Jacques Rousseau — Complete,"Rousseau, Jean-Jacques",https://www.gutenberg.org/ebooks/3913,2015
FIC_108,Die Verwandlung,"Kafka, Franz",https://www.gutenberg.org/ebooks/22367,2007
FIC_109,The Idiot,"Dostoyevsky, Fyodor",https://www.gutenberg.org/ebooks/2638,2001
FIC_110,The Strange Case of Dr. Jekyll and Mr. Hyde,"Stevenson, Robert Louis",https://www.gutenberg.org/ebooks/43,1992
FIC_111,The Lost World,"Doyle, Arthur Conan",https://www.gutenberg.org/ebooks/139,2008
BIO_10,Life on the Mississippi,"Twain, Mark",https://www.gutenberg.org/ebooks/245,2006
FIC_112,The Decameron of Giovanni Boccaccio,"Boccaccio, Giovanni",https://www.gutenberg.org/ebooks/23700,2007
HIS_4,A Vindication of the Rights of Woman: With Strictures on Political and Moral Subjects,"Wollstonecraft, Mary",https://www.gutenberg.org/ebooks/3420,2002
